Method,K,gamma,time_cost
Random,3,31,5.548202991485596
Random,3,33,5.797286748886108
Random,3,35,5.604775905609131
Random,3,37,5.811018943786621
Random,3,39,5.997567176818848
Random,3,41,6.21523904800415
Random,3,43,5.794646739959717
Random,3,45,5.582992315292358
Random,3,47,5.782725095748901
Random,3,49,5.876049995422363
Random,3,51,5.430684328079224
Random,3,53,5.342678070068359
Random,3,55,5.678998947143555
Random,3,57,5.910654783248901
Random,3,59,5.882734060287476
Random,3,61,5.9538960456848145
Random,3,63,5.873521089553833
Random,3,65,5.855948209762573
Random,3,67,5.822234153747559
Random,3,69,5.888633966445923
Random,3,71,5.76348090171814
Random,3,73,5.86128306388855
Random,3,75,5.64145302772522
Random,3,77,5.567108154296875
Random,3,79,5.754921913146973
Random,3,81,5.669641971588135
Random,3,83,5.364627361297607
Random,3,85,5.547917127609253
Random,3,87,5.4298601150512695
Random,3,89,5.411996126174927
Random,3,91,5.464994192123413
Random,3,93,5.552425861358643
Random,3,95,5.988595962524414
Random,3,97,5.436762094497681
Random,3,99,5.727548122406006
Random,3,101,5.5966691970825195
Random,3,103,5.755161285400391
Random,3,105,5.694001913070679
Random,3,107,5.55739688873291
Random,3,109,5.668004035949707
Random,3,111,5.788555860519409
Random,3,113,5.572296857833862
Random,3,115,5.429519176483154
Random,3,117,5.946353197097778
Random,3,119,5.856822967529297
Random,3,121,5.841115951538086
Random,3,123,5.471604108810425
Random,3,125,5.634153366088867
Random,3,127,5.577320098876953
Random,3,129,5.558103084564209
Random,3,131,5.660099983215332
Random,3,133,5.782792806625366
Random,3,135,5.889523029327393
Random,3,137,5.382205009460449
Random,3,139,5.732885122299194
Random,3,141,5.622692108154297
Random,3,143,5.348527908325195
Random,3,145,5.419337034225464
Random,3,147,5.365410089492798
Random,3,149,5.349225044250488
